samplenumber,waterbodyname,beachname,beachaccessnumber,collectiondate,parameters,cellcount
M121703,Moose Lake,Franchere Bay Provincial Park,9622238,16-Jul-12,Aphanizomenon flos-aquae (Ralfs ex Bornet et Flahault),3005
M121703,Moose Lake,Franchere Bay Provincial Park,9622238,16-Jul-12,Aphanothece clathrata (West et G.S. West),5653
M121703,Moose Lake,Franchere Bay Provincial Park,9622238,16-Jul-12,Cyanodictyon (Pascher),38197
M121703,Moose Lake,Franchere Bay Provincial Park,9622238,16-Jul-12,Cylindrospermopsis G. Seenayya & N. Subba Raju,968
M121703,Moose Lake,Franchere Bay Provincial Park,9622238,16-Jul-12,Gloeotrichia (J.Agardh ex Bornet & Flahault),275019
M121703,Moose Lake,Franchere Bay Provincial Park,9622238,16-Jul-12,Spirulina (Turpin ex Gomont),1070
M121703,Moose Lake,Franchere Bay Provincial Park,9622238,16-Jul-12,Spirulina laxa G.M. Smith,1477
M121703,Moose Lake,Franchere Bay Provincial Park,9622238,16-Jul-12,Spirulina laxissima G.S. West,255
M121703,Moose Lake,Franchere Bay Provincial Park,9622238,16-Jul-12,Synechococcus (Nägeli),815
M121703,Moose Lake,Franchere Bay Provincial Park,9622238,16-Jul-12,Total cyanobacterial cell count,353503
M121708,Moose Lake,Franchere Bay Provincial Park,9622238,23-Jul-12,Anabaena circinalis (Rabenhorst ex Bornet et Flahault),158747
M121708,Moose Lake,Franchere Bay Provincial Park,9622238,23-Jul-12,Anabaena flos-aquae var. intermedia f. spiroides (Woronichin),3667
M121708,Moose Lake,Franchere Bay Provincial Park,9622238,23-Jul-12,Anabaena spiroides (Klebahn),4533
M121708,Moose Lake,Franchere Bay Provincial Park,9622238,23-Jul-12,Aphanizomenon flos-aquae (Ralfs ex Bornet et Flahault),10593
M121708,Moose Lake,Franchere Bay Provincial Park,9622238,23-Jul-12,Gloeotrichia (J.Agardh ex Bornet & Flahault),1247772
M121708,Moose Lake,Franchere Bay Provincial Park,9622238,23-Jul-12,Microcystis aeruginosa (Kützing) Kützing,49503
M121708,Moose Lake,Franchere Bay Provincial Park,9622238,23-Jul-12,Microcystis viridis (A. Braun) Lemmermann,25516
M121708,Moose Lake,Franchere Bay Provincial Park,9622238,23-Jul-12,Oscillatoria (Vaucher ex Gomont),7741
M121708,Moose Lake,Franchere Bay Provincial Park,9622238,23-Jul-12,Total cyanobacterial cell count,1508072
M121729,Moose Lake,Franchere Bay Provincial Park,9622238,30-Jul-12,Anabaena circinalis (Rabenhorst ex Bornet et Flahault),15228
M121729,Moose Lake,Franchere Bay Provincial Park,9622238,30-Jul-12,Anabaena flos-aquae var. intermedia f. spiroides (Woronichin),7283
M121729,Moose Lake,Franchere Bay Provincial Park,9622238,30-Jul-12,Anabaena spiroides (Klebahn),4431
M121729,Moose Lake,Franchere Bay Provincial Park,9622238,30-Jul-12,Aphanizomenon flos-aquae (Ralfs ex Bornet et Flahault),25516
M121729,Moose Lake,Franchere Bay Provincial Park,9622238,30-Jul-12,Gloeotrichia (J.Agardh ex Bornet & Flahault),247008
M121729,Moose Lake,Franchere Bay Provincial Park,9622238,30-Jul-12,Microcystis aeruginosa (Kützing) Kützing,180290
M121729,Moose Lake,Franchere Bay Provincial Park,9622238,30-Jul-12,Microcystis viridis (A. Braun) Lemmermann,162974
M121729,Moose Lake,Franchere Bay Provincial Park,9622238,30-Jul-12,Total cyanobacterial cell count,642730
M121725,Moose Lake,Franchere Bay Provincial Park,9622238,7-Aug-12,Total cyanobacterial cell count,0
